Date,Open,High,Low,Close,Adj Close,Volume,RSI,Middle Band,Upper Band,Lower Band,touch_upper,touch_lower,Long Entry,Long Exit,Short Entry,Short Exit,Long Profit,Short Profit,Balance,Daily Return
2018-03-29,74.1500015258789,74.3499984741211,73.55000305175781,74.0,59.6142578125,20383080,30.303037308903853,77.47333323160807,79.7990420827606,75.14762438045554,False,True,False,False,False,False,0.0,0.0,0.0,0.0
2018-04-03,73.44999694824219,73.6500015258789,73.0999984741211,73.55000305175781,59.25175094604492,25428538,19.19997460934401,77.19499994913737,79.47180785660903,74.9181920416657,False,True,False,False,False,False,0.0,0.0,0.0,-0.006081039841110636
2018-04-04,73.69999694824219,73.8499984741211,72.4000015258789,72.4000015258789,58.32530975341797,23443502,16.90138726211839,76.82333323160807,78.93073917220478,74.71592729101137,False,True,False,False,False,False,0.0,0.0,0.0,-0.01563564212321844
2018-04-06,72.80000305175781,73.69999694824219,72.80000305175781,73.05000305175781,58.848960876464844,24719256,25.874126620314044,76.56000010172527,78.62716517072738,74.49283503272315,False,True,False,False,False,False,0.0,0.0,0.0,0.008977921438945824
2018-04-09,73.80000305175781,74.9000015258789,73.5999984741211,74.19999694824219,59.775386810302734,26596521,36.58532046755223,76.31333338419596,78.19119596645098,74.43547080194094,False,True,True,False,False,False,0.0,0.0,0.0,0.01574255781576861
2018-04-10,74.19999694824219,74.80000305175781,74.05000305175781,74.69999694824219,60.17818832397461,16001936,36.1963086808533,76.15166651407877,77.94828601276788,74.35504701538966,False,False,False,False,False,False,0.0,0.0,0.0,0.006738544751541786
2018-04-11,75.0,75.5999984741211,74.94999694824219,75.25,60.62125778198242,21424632,38.823510404259544,76.00499979654948,77.68178580201811,74.32821379108086,False,False,False,False,False,False,0.0,0.0,0.0,0.007362825625533809
2018-04-12,75.4000015258789,75.69999694824219,74.80000305175781,75.4000015258789,60.74210739135742,13303726,40.82841786020945,75.86666641235351,77.40650091990238,74.32683190480464,False,False,False,False,False,False,0.0,0.0,0.0,0.0019933757591881207
2018-04-13,76.30000305175781,76.3499984741211,75.8499984741211,76.30000305175781,61.4671516418457,18726256,47.02704931892133,75.78999989827474,77.24391213368797,74.33608766286152,False,False,False,False,False,False,0.0,0.0,0.0,0.011936359518109674
2018-04-16,76.5999984741211,76.69999694824219,75.3499984741211,75.94999694824219,61.1851806640625,20933959,48.066265273536885,75.72166646321615,77.11504214239159,74.32829078404072,False,False,False,False,False,False,0.0,0.0,0.0,-0.0045872357734796365
2018-04-17,75.6500015258789,76.25,75.1500015258789,75.44999694824219,60.782386779785156,13197306,55.06326118889122,75.63999964396159,76.97173372629412,74.30826556162906,False,False,False,False,False,False,0.0,0.0,0.0,-0.006583278737203102
2018-04-18,75.94999694824219,76.0999984741211,75.19999694824219,75.6500015258789,60.94350814819336,16139272,54.19355410318279,75.58833312988281,76.88711744081392,74.2895488189517,False,False,False,False,False,False,0.0,0.0,0.0,0.0026508228724504423
2018-04-19,75.9000015258789,76.4000015258789,75.69999694824219,76.30000305175781,61.4671516418457,17981942,57.22893393596281,75.6,76.90370783943791,74.29629216056207,False,False,False,False,False,False,0.0,0.0,0.0,0.008592220922249982
2018-04-20,76.5,77.6500015258789,76.5,76.80000305175781,61.86994934082031,34244927,68.18180917428283,75.60666681925456,76.91616325799784,74.29717038051128,False,False,False,True,False,False,2.600006103515625,0.0,0.0,0.006553079685472918
2018-04-23,77.05000305175781,77.44999694824219,76.9000015258789,77.0,62.03104782104492,16113737,68.98731976783489,75.64166692097982,76.97448087869887,74.30885296326076,True,False,False,False,False,False,0.0,0.0,0.0,0.0026041268267580353
2018-04-24,77.19999694824219,77.69999694824219,77.0999984741211,77.6500015258789,62.5546989440918,15832064,75.3085896475885,75.6866668701172,77.06450437983415,74.30882936040024,True,False,False,False,False,False,0.0,0.0,0.0,0.008441578258167715
2018-04-25,77.4000015258789,77.75,77.0999984741211,77.5,62.433876037597656,12080864,85.915412744073,75.71666692097982,77.12454686567794,74.3087869762817,True,False,False,False,False,False,0.0,0.0,0.0,-0.0019317646224246143
2018-04-26,77.5999984741211,77.80000305175781,76.69999694824219,77.05000305175781,62.07133865356445,19719319,78.9854687869721,75.70500030517579,77.09983979377444,74.31016081657714,True,False,False,False,False,False,0.0,0.0,0.0,-0.005806412235383029
2018-04-27,77.30000305175781,77.5,77.0,77.4000015258789,62.35331344604492,13514973,76.22948666797575,75.71500040690104,77.12121503656147,74.30878577724062,True,False,False,False,False,False,0.0,0.0,0.0,0.004542484883303333
2018-04-30,77.9000015258789,78.69999694824219,77.69999694824219,78.69999694824219,63.40058517456055,24138515,78.9854687869721,75.78833363850912,77.29095657582137,74.28571070119686,True,False,False,False,False,False,0.0,0.0,0.0,0.016795806159365823
2018-05-02,78.19999694824219,78.5999984741211,77.80000305175781,78.44999694824219,63.19917678833008,13978028,74.24237870429882,75.85666681925456,77.43287600284474,74.28045763566438,True,False,False,False,False,False,0.0,0.0,0.0,-0.003176620199419
2018-05-03,77.30000305175781,78.0,77.1500015258789,77.69999694824219,62.594966888427734,14845915,65.97218027823959,75.88166681925456,77.48158461365212,74.281749024857,True,False,False,False,False,False,0.0,0.0,0.0,-0.009560229817406118
2018-05-04,77.05000305175781,77.4000015258789,74.8499984741211,74.94999694824219,60.37958526611328,54745949,42.54140525812636,75.80833333333334,77.39850111164101,74.21816555502566,False,False,False,False,False,False,0.0,0.0,0.0,-0.035392536782618444
2018-05-07,75.4000015258789,75.55000305175781,75.0,75.0999984741211,60.500423431396484,16621209,45.197747905795495,75.7466667175293,77.3268743932075,74.16645904185108,False,False,False,False,False,False,0.0,0.0,0.0,0.002001354662929389
2018-05-08,75.44999694824219,76.3499984741211,75.44999694824219,75.9000015258789,61.14488983154297,13424855,52.45904099777455,75.71500015258789,77.2817970180187,74.14820328715709,False,False,False,False,False,False,0.0,0.0,0.0,0.010652504234517135
2018-05-09,75.69999694824219,76.19999694824219,75.5999984741211,76.0999984741211,61.3060188293457,12025213,52.459001357449466,75.70833333333333,77.2729791787892,74.14368748787746,False,False,False,False,False,False,0.0,0.0,0.0,0.0026350058527204734
2018-05-10,76.69999694824219,77.30000305175781,76.69999694824219,77.0999984741211,62.11161804199219,18504582,54.2105056043971,75.78999989827474,77.36142539700688,74.2185743995426,False,False,False,False,False,False,0.0,0.0,0.0,0.01314060473128742
2018-05-11,77.9000015258789,77.9000015258789,77.30000305175781,77.55000305175781,62.47412872314453,14165297,53.968255249751735,75.875,77.47099418357442,74.27900581642558,True,False,False,False,False,False,0.0,0.0,0.0,0.005836635363718701
2018-05-14,78.05000305175781,78.5999984741211,78.0,78.4000015258789,63.15890121459961,22374475,56.93070167023335,75.98500010172526,77.63842632767702,74.3315738757735,True,False,False,False,False,False,0.0,0.0,0.0,0.010960650427747742
2018-05-15,78.55000305175781,78.55000305175781,77.69999694824219,77.94999694824219,62.79636764526367,12231114,51.515128162248686,76.11666666666666,77.76383387892005,74.46949945441327,True,False,False,False,False,False,0.0,0.0,0.0,-0.005739854194877547
2018-05-16,77.94999694824219,78.19999694824219,77.75,78.05000305175781,62.876953125,15046970,52.791891933759864,76.25166676839193,77.88528340244636,74.6180501343375,True,False,False,False,False,False,0.0,0.0,0.0,0.0012829519875674489
2018-05-17,77.4000015258789,77.55000305175781,76.80000305175781,77.0,62.66115188598633,12627414,49.76075122800255,76.36666666666666,77.9231510163601,74.81018231697323,False,False,False,False,False,False,0.0,0.0,0.0,-0.013452953372231402
2018-05-18,77.0,77.4000015258789,76.69999694824219,77.25,62.86458969116211,11878991,49.275355908939794,76.5283332824707,77.89944439737549,75.1572221675659,False,False,False,False,False,False,0.0,0.0,0.0,0.0032467532467532756
2018-05-21,77.5,77.9000015258789,77.5,77.80000305175781,63.31218338012695,13576777,45.31254221986277,76.68666661580404,77.90837689902833,75.46495633257976,False,False,False,False,False,False,0.0,0.0,0.0,0.00711978060527918
2018-05-23,78.25,78.25,77.5,77.5,63.06803894042969,20176620,45.07774847254374,76.79666671752929,77.93229185229795,75.66104158276063,False,False,False,False,False,False,0.0,0.0,0.0,-0.0038560802055268573
2018-05-24,77.5,77.69999694824219,76.94999694824219,77.55000305175781,63.10873031616211,9395616,49.16204784255024,76.89166692097982,77.96325017286958,75.82008366909005,False,False,False,False,False,False,0.0,0.0,0.0,0.0006452006678427935
2018-05-25,76.9000015258789,77.25,76.80000305175781,77.05000305175781,62.701839447021484,11488656,65.67162309579064,76.95166702270508,77.97758005576809,75.92575398964208,False,False,False,False,False,False,0.0,0.0,0.0,-0.00644745300224292
2018-05-28,77.0,77.0999984741211,76.69999694824219,76.8499984741211,62.539093017578125,8904420,62.962904356082014,77.00000025431315,77.98357250210648,76.01642800651982,False,False,False,False,False,False,0.0,0.0,0.0,-0.002595776375276304
2018-05-29,76.5999984741211,76.75,75.9000015258789,75.9000015258789,61.76598358154297,19560619,50.0,76.98666687011719,77.98268799538124,75.99064574485314,False,True,False,False,False,False,0.0,0.0,0.0,-0.012361704191342193
2018-05-30,75.0,75.19999694824219,74.6500015258789,74.94999694824219,60.992889404296875,34130739,42.483681641160665,76.95333353678386,78.0006567403253,75.90601033324242,False,True,False,False,False,False,0.0,0.0,0.0,-0.012516529097997497
2018-05-31,75.44999694824219,76.19999694824219,75.0999984741211,75.94999694824219,61.80668258666992,17879650,42.483681641160665,76.97000020345052,77.99634324225447,75.94365716464658,False,True,False,False,False,False,0.0,0.0,0.0,0.01334222869536017
2018-06-01,75.44999694824219,75.94999694824219,75.19999694824219,75.94999694824219,61.80668258666992,17097897,38.88888888888889,76.98000005086263,77.99443094599775,75.96556915572751,False,True,False,False,False,False,0.0,0.0,0.0,0.0
2018-06-04,76.19999694824219,76.69999694824219,76.0,76.5999984741211,62.335636138916016,13662716,37.14289139713224,76.98999989827475,77.99896038347586,75.98103941307363,False,False,False,False,False,False,0.0,0.0,0.0,0.008558282448936305
